FROM_JOB;TO_JOB
CBSBAPCP_LOOP.4;DCBKN60PB.4
CBSBAPCP_LOOP.5;DCBKN60PB.5
CBSBAPCP_LOOP.6;DCBKN60PB.6
CBSBAPCP_LOOP.7;DCBKN60PB.7
CBSBAPCP_LOOP.8;DCBKN60PB.8
CBSBKEMA;ENDFOLDER
CBSBKEMF;ENDFOLDER
CBSBKLGA;CBSBKEMA
CBSBKLGF;CBSBKEMF
CBSBNFI1;IFT0B148
CBSBNFI2;CBEESLFI
CBSBNFI3;CBSBNFI4
CBSBNFI4;IFT0C148
CBSBNFI5;IFT0E148
CBSBNFIA;CBSBNFI3
CBSBTAS2_LOOP;CBEBTASL
CBSBTAS3_LOOP;CBEBTAS4
CBSBTAS4_LOOP;CBEBTAS5
CBSBTAS5_LOOP;CBEEPOFZ
CBSBTASL_LOOP;CBEBTAS3
CBSCCADD_LOOP;CBSCRL52
CBSCCDR1_LOOP;CBSCRD12
CBSCCX33;CBSSXB33
CBSCDPC;CBSCRL31
CBSCDPC3;DCBKTA31
CBSCF221;DCBSXA22
CBSCF221;IFT0A022
CBSCF222;DCBSXC22
CBSCF223;CBSENDPARTIAL
CBSCHKF1;CBSEPDK0
CBSCHKF1;ENDFOLD
CBSCHSOL_LOOP;CBEEMBOD
CBSCLCBJ_LOOP;CBSCRL42
CBSCLEFG_LOOP;CBEWHTRV
CBSCLFRD_LOOP;CBEIODEX
CBSCLFRD_LOOP;CBEIODEX-A
CBSCLLAB_LOOP;CBSSXER6
CBSCLPRE_LOOP;CBSS02FX
CBSCLPRE_LOOP;CBSS02FX-A
CBSCLRNF_LOOP;CBECLRNP
CBSCLRNP_LOOP;CBECLRNQ
CBSCLRNQ_LOOP;DCBSCLRC
CBSCLRPR_LOOP;CBEDTRAN
CBSCPEAC;CBSREMA
CBSCPEFL;CBSREMF
CBSCPLGA;CBSBKLGA
CBSCPLGF;CBSBKLGF
CBSCRD11;CBECCDR1
CBSCRD12;CBSFTCRD
CBSCRL01;CBSCRL21
CBSCRL09;CBSCRL10
CBSCRL10;CBSFTCL1
CBSCRL21;CBSCDPC
CBSCRL21;CBSCRL31
CBSCRL31;IFTCRL31
CBSCRL32;CBSCRL41
CBSCRL41;CBECLCBJ
CBSCRL42;CBSCRL51
CBSCRL51;CBECCADD
CBSCRL52;CBSCRL61
CBSCRL61;IFTCRL61
CBSCRL62;CBSCRL71
CBSCRL71;IFTCRL71
CBSCRL72;CBSCRL81
CBSCRL81;IFTCRL81
CBSCRL82;CBSCRL09
CBSCTMW8;CBEEFSYN
CBSCTMW8;CBEFLXAM
CBSCTMW8;DCBDMRK2
CBSCUSEV;CBSERREP
CBSDELFL;CBSARCBK
CBSDENDO_LOOP;CBEEEDXP
CBSDENOC_LOOP;CBEDENDO
CBSDFFP1;IFT0AFFP
CBSDIAS2_LOOP;CBEDIAS3
CBSDIAS3_LOOP;DCBSDPAY3
CBSDPP21;IFTMA149
CBSDPPP1;IFT0A149
CBSDPPP2;CBSNDUM
CBSDPPP2;ICBDPP2
CBSDTRAN_LOOP;CBSQLC03
CBSDTRAN_LOOP;CBSQLC04
